Slots,Pair,Events,Fraction (%),μ (ps),μ err (ps),CFD50 fit (ps),CFD50 fit err,CFD50 std (ps),CFD50 std err,Best fit CFD,Best fit (ps),Best fit err,Best std CFD,Best std (ps),Best std err
1-3,ch6-ch38,52,0.09320332664181244,-14.90572099665148,29.199334737724932,96.66528881876255,19.322603771130026,63.65617064600751,6.365617064600752,35/40,42.14702282723011,7.181095507780835,65/35,51.48454997827278,5.6855174233773695
1-3,ch6-ch39,54,0.09678806997418984,-31.753195902235845,17.515855821774064,66.54721393400422,11.956170375297967,63.23668917320305,6.818987561750334,40/50,45.48229488292264,8.511800417218842,35/45,58.90336447799057,6.351713142674629
1-3,ch7-ch31,42,0.07527960997992544,-93.32492935678482,56.2322902960013,140.03834836205894,46.89402239813089,75.37147173510168,8.534138647533416,50/30,70.02910395309486,16.098033863983865,70/20,52.838274566839566,8.153122771880145
1-3,ch8-ch31,47,0.08424146831086894,-103.50314577795886,49.83633065739128,128.55379156127393,41.37241106628168,74.22994745599144,7.824523485185144,40/65,67.25846824692374,14.524208296886652,15/55,55.74972166246519,6.312412949836281
1-3,ch8-ch36,192,0.3441353599082306,26.563365522515337,7.755997775836354,65.80175454293885,4.8832853394642495,67.92173201056141,3.5406650379809683,60/20,49.3190095566312,4.588006921026997,15/85,46.87567010042919,7.411694218200503
1-3,ch8-ch38,26,0.04660166332090622,25.701227480319908,81.76461453593717,135.11868998926334,83.2282843051536,51.61779736672003,7.450387301162843,50/20,43.3724047784522,8.62511737050231,55/50,39.96028011187747,6.318275054593046
1-3,ch8-ch39,32,0.05735589331803843,-4.9198074225023,146.78093056682457,162.6485786486049,138.9726658614779,55.694023677642186,7.4424269675933115,10/60,51.09537567271013,15.126025104004214,65/45,52.96255151642292,8.374114674295056
1-3,ch9-ch36,725,1.2994694579868082,-9.635528800607766,4.4639270958187955,82.58288601736137,2.4681781813688777,83.40156416338272,2.1993520516457736,40/65,74.82065036748062,2.827862563171199,30/85,75.5194801685392,6.382560997932673
1-3,ch9-ch38,50,0.08961858330943505,-42.312189365861194,29.95654936821294,88.60761207206403,22.58833619766431,67.9577254652773,6.795772546527731,40/30,54.10206673377467,10.590538418363206,35/70,45.614649735777654,6.725513186363519
1-3,ch9-ch39,63,0.11291941496988815,-40.58823126832275,16.51408986552145,74.41782366897093,10.722086032718275,73.78676150645065,6.7926219779755534,45/45,58.74641977824131,10.801355443574671,50/65,59.49099082202906,8.095698433698244
1-4,ch0-ch21,69,0.12367364496702037,25.831500825154016,27.881764549354713,105.37797961011864,20.988605636276542,80.24851228209714,6.831207016380883,10/40,58.14709208813733,10.323358751950842,10/45,58.97440323503679,5.4290338723875635
1-4,ch1-ch20,33,0.05914826498422713,10.43761161165617,51.826289521163325,100.44666741566914,43.762971079505846,55.16093926318444,6.895117407898055,65/50,33.536532726414144,9.297224888876555,65/15,31.559099239336753,4.869674734415767
1-4,ch1-ch21,1077,1.9303842844852308,2.574674754079381,3.1547177369035926,72.00205624035699,1.6753290550621218,71.73879638550758,1.5595390518588603,60/85,58.21171622114781,4.891109451816601,75/85,64.89361583345753,5.445751267990442
1-4,ch1-ch22,98,0.1756524232864927,9.137170656137648,10.384030073597968,59.99037450112242,6.594244308778296,57.01533509884464,4.114727383406834,70/40,39.81562382205698,5.505351682802245,80/60,40.061511515162806,6.334281144848881
1-4,ch1-ch27,134,0.24017780326928592,9.895840368129674,7.756836598110297,51.495313948733894,5.1701775380091926,55.927991439298566,3.5092342898305113,75/30,31.78748406639037,4.899575893223032,40/80,36.80291852098737,5.819052353395771
1-4,ch1-ch28,536,0.9607112130771437,-5.028729189788011,3.8966872233380183,61.63443441674536,2.090097758677903,61.966180541865036,1.9123178483931145,70/70,44.28748480250843,4.7116617579819975,55/85,48.300585575564796,6.971589021017223
1-4,ch2-ch21,40,0.07169486664754804,141.69747675070326,1097.2350677737215,368.26868080863915,745.5129012898135,105.11785144468145,11.752533073951607,20/20,77.29304234627006,17.380124547947553,60/60,83.0886491299031,13.13746894785307
1-4,ch5-ch25,31,0.055563521651849725,39.242013490058945,83.6989437248376,191.67367803738622,73.55622486282941,114.31644483456151,14.518203012199583,35/10,125.15060203244785,65.61860945088526,50/55,61.620290425167696,9.085416159119603
1-4,ch6-ch26,390,0.6990249498135933,40.83487724651331,5.800858547817925,75.21027781696843,3.0474913199933846,77.15102853936911,2.7985619438435996,65/85,48.95055420129226,7.708323634234676,65/85,60.655810106037826,5.731435325419087
1-4,ch6-ch28,99,0.1774447949526814,-43.980102720008446,14.164991116008986,84.36035780469895,8.471202333455853,81.08606792645725,5.821640401803208,15/15,47.841402856870594,6.221684057353655,85/55,52.07315028319068,8.035061531775776
1-4,ch6-ch29,236,0.4229997132205334,-40.397938358828604,6.387588841221816,62.13674207875477,3.9232565997485027,72.7956400279652,3.446973458680164,30/30,44.956095242730974,2.3922719013040026,20/75,53.78579192394782,6.428631728320921
1-4,ch7-ch21,77,0.13801261829652997,-16.212601100689607,16.67195027432058,81.4864260508405,12.35898247197212,85.07115365043592,7.1390126272239165,65/45,61.728842509678536,11.718707066723642,65/70,61.42573825308537,9.056731006293601
1-4,ch7-ch28,42,0.07527960997992544,-45.954923850416044,25.01073283291329,82.96439267837829,20.510126914718757,68.40486041699994,7.554053126786166,55/20,39.5984159935364,6.796991920468161,10/10,44.95231569151778,5.225600555205678
1-4,ch8-ch21,137,0.24555491826785203,7.9150424361418885,9.625320651225072,70.31071169693654,6.031144684686544,74.37648927844033,4.6126340536642285,10/55,49.79049632388044,5.0493596789577735,80/15,52.682298279059594,7.450402072323085
1-4,ch8-ch26,219,0.3925293948953255,11.815826576968627,7.772727583944499,72.68078228328295,4.717055689065213,70.95477588398731,3.429728545955391,20/80,43.659113069330175,7.1057429310275015,65/85,42.68351753174295,6.748856697401806
1-4,ch8-ch27,20,0.03584743332377402,-21.410970349173745,157.4865022407593,111.7880787227185,170.18996606129727,,,30/25,42.90652303242719,19.698929164257958,50/50,inf,
1-4,ch8-ch28,122,0.21866934327502152,-27.587267557496308,8.826390468207826,57.22969663599532,5.908373803526478,67.95167797734797,4.404653068653456,35/25,35.703541635872114,3.334791183495537,20/25,55.23775015592145,3.6743604839313337
1-4,ch8-ch29,119,0.21329222827645541,-30.1451186263324,9.833900395104534,64.1740308730878,6.090876929852799,64.14241977243452,4.229425911429916,30/45,47.32425225096206,4.553620681761778,30/70,49.91230321672398,6.338868847395963
1-4,ch9-ch26,501,0.8979782047605391,-26.622900961343316,5.0760535621552,77.14236338656073,2.7732532247488395,77.16867762838866,2.4451831197007827,25/80,51.78330386723343,5.052733549340228,65/85,47.955629778664154,6.7819502025129905
1-4,ch9-ch28,105,0.18819902494981358,-3.7929526059407728,10.91950458433234,64.39655638521936,7.023558908145121,64.64941350348661,4.5944337569711395,40/55,49.096553941118856,6.6547977239633,40/10,51.84346755854874,3.7414799938314682
1-4,ch9-ch29,336,0.6022368798394035,-31.903063631237565,5.701449496816346,68.96210285241297,3.281852708843661,71.62754495816239,2.82252067774434,10/65,34.09674916387554,4.2121944152046,65/75,32.494470801746424,4.898725791388721
2-3,ch10-ch31,128,0.2294235732721537,11.110915229823537,11.523104176301992,72.03714619930865,7.721599782828335,71.43167197524316,4.482021725159104,45/40,63.54184821867734,5.527584510601934,50/85,37.60843087704376,5.545060616427564
2-3,ch11-ch31,632,1.132778893031259,-14.214169386857257,4.374446885014387,75.38526349931226,2.430177472915476,74.12910822271759,2.098367170055061,80/45,48.43342184928872,3.985059481064028,85/35,54.70401033991583,4.147100321461029
2-3,ch11-ch32,58,0.10395755663894465,-31.127437330264982,24.564334036599547,89.47504286184946,17.28569590832138,64.12154922485416,6.058916890326806,70/55,35.30095407983988,16.83316015039891,70/45,24.74546806393034,3.818308618644412
2-3,ch11-ch37,194,0.347720103240608,-3.634189569956718,6.2355288684632075,56.499201520076504,3.6415876600399684,56.968449366914264,2.9071590080524863,70/55,35.138907006918885,4.8900536003365005,75/65,45.35113521617847,5.499632962881549
2-3,ch11-ch38,150,0.26885574992830513,7.023194401707926,8.994025148743374,70.23640133502042,5.352755120324344,72.96645739564953,4.255490213282601,40/60,49.14310763597269,4.7782376778070805,85/20,58.090381123614826,7.905099595370002
2-3,ch18-ch31,171,0.30649555491826785,-49.35883678795254,8.879947108319652,66.53110392571452,5.998845507048836,61.872420816440204,3.416332926352297,80/40,33.93586278384398,6.338782702658243,80/60,38.34497668385597,4.869816908669051
2-3,ch18-ch36,637,1.1417407513622024,23.565390353722442,3.6484541821526935,63.271868090939115,1.9762131411734334,62.431715435503406,1.7560291917635347,80/70,38.94193916327343,5.0832191414515755,80/80,39.20379174544968,5.436587743493488
2-3,ch18-ch37,60,0.10754229997132206,-21.527767230959007,23.18459522371968,70.26849762405513,20.52896534387921,48.730162685960366,4.48597508947511,40/15,43.99076617803994,6.840626188793373,65/60,28.407731047373428,4.4916566633590325
2-3,ch18-ch38,118,0.2114998566102667,-32.99356032028836,7.370652922704975,48.631364272672954,4.638711519109801,53.972099551880135,3.5743896117600493,35/15,32.571023994640775,3.3940761951541507,55/80,37.812823673225274,5.5751966901205385
2-3,ch18-ch39,102,0.1828219099512475,-38.08997219485497,10.71785190441455,57.06393285684032,6.673621049195092,53.40423434192365,4.120226130559706,55/55,38.39646119383278,5.610282279565567,25/70,40.46772507496168,5.611863759967467
2-3,ch19-ch36,56,0.10037281330656725,24.512129647104903,23.617571050457652,90.95985225105744,17.70549837245976,74.32144060528698,7.022716032915968,15/25,66.54702454718323,12.409204453509302,65/35,69.16660687467206,8.266990734719299
2-4,ch10-ch20,94,0.16848293662173788,-0.7888861478517436,10.382627059353808,54.48439838749329,7.487179441343709,48.36010664193575,3.545935060582432,45/40,31.429726424884915,3.6677283389734696,65/65,32.08855613993077,4.631584131323862
2-4,ch10-ch21,381,0.6828936048178951,9.317476429693894,4.775659356926754,62.29620567844752,2.6638440417631717,61.73472722412078,2.242306267001698,20/35,55.01064617962182,2.3047446072562208,60/80,51.55461423152212,4.521638784403677
2-4,ch11-ch20,45,0.08065672497849154,-13.441658685531293,37.56486452623369,111.65545430646623,29.564538703930044,81.43219544991305,8.680701202165771,50/35,63.81724885439802,10.958745071678951,60/10,49.21928466738778,6.250855403616777
2-4,ch11-ch21,2217,3.97368798394035,-3.4383717536894225,1.9684803177377592,64.53381088109356,1.0435554519189674,64.54479845542443,0.977278666425488,80/85,32.63965510856386,3.979158153868836,85/85,50.493657335316286,5.153487321602743
2-4,ch11-ch22,85,0.15235159162603956,-4.723683711929006,11.21462586975021,63.901143196763805,7.452966155300887,64.15581371951716,5.00972738780082,35/35,54.66506100500786,7.622392625260858,35/20,60.49740058932822,4.972855695746043
2-4,ch11-ch27,161,0.28857183825638083,-4.765583159153408,8.13118256956898,60.061157042344874,5.536038388132144,57.343032887957854,3.3217927059304193,45/25,43.63775211097802,3.4979413592600928,85/20,45.249662944735796,6.157699180418133
2-4,ch11-ch28,756,1.3550329796386578,5.2978926294019155,3.425385430218065,62.733437981722886,2.076531610014874,60.62328279061555,1.5931445017730366,85/50,49.542541265229815,5.159274805814839,30/85,46.85029410939122,6.375517492629385
2-4,ch15-ch25,36,0.06452537998279323,34.83356149596245,39.23884580111135,106.9246503212196,29.672631542071187,71.62007505861392,8.440506790505903,60/30,63.14630566434697,26.609464658134993,65/40,42.695290910884204,6.436557284839734
2-4,ch17-ch21,37,0.06631775164898193,-64.16881574174991,160.09028233616814,243.05452393689504,145.94131997536664,101.46659779431147,11.957953227380939,55/25,78.525724539658,16.598026841869952,15/10,64.32620278889888,8.446444227621448
2-4,ch18-ch21,287,0.5144106681961571,-14.829065538111044,7.049216309070047,77.2608247862764,4.225528478380555,72.46309161636886,3.062124509517822,15/85,48.322672814796796,8.949861876467837,60/80,45.229276321832565,4.616193684326457
2-4,ch18-ch26,723,1.2958847146544308,11.674467221318642,3.1616042046226664,58.400292789828164,1.784911608907682,59.318642362919356,1.570838149119528,40/80,45.91667645286246,2.675631847475893,85/85,50.14866833333845,6.701397689511151
2-4,ch18-ch27,56,0.10037281330656725,0.8855460062953714,12.322414762626297,42.094018181598095,9.95896506823088,42.7544507988145,4.780092916340971,70/60,18.17922285570668,3.742865800355634,60/50,41.297654663577724,5.422647719347077
2-4,ch18-ch28,819,1.467952394608546,-10.337142605767724,2.9037500907342135,55.72665768544581,1.6770759392863404,58.61744876855904,1.4636078514162645,80/60,39.02330969916923,4.072615298928931,75/10,48.892786343724175,2.20425704002093
2-4,ch18-ch29,398,0.7133639231431029,-31.652025234508287,4.093526492641405,54.3157376319839,2.4764572795101802,57.694734114446995,2.08732222321561,45/65,42.08296826140981,3.054921020896728,65/80,40.53604378181896,6.254847349744691
2-4,ch19-ch26,56,0.10037281330656725,-46.730458205363476,23.01025717630007,59.887777333144214,14.202994668515501,45.59291331710417,4.38718012946156,20/50,45.22775786204296,6.901700813477364,60/70,30.282541746566558,4.672697636862118
